区分,ルール名,売買条件例,狙い・特徴
買い,移動平均トレンドフォロー,"終値 > 200日MA かつ 20日MA > 60日MA","大きな上昇トレンドに乗る。最も基本的で検証しやすい"
買い,クロスセクション・モメンタム,"過去6〜12か月リターン上位10〜20%を買う。直近1か月は除外することも多い","相対的に強い銘柄を買う。銘柄選択型のクオンツ戦略に向く"
買い,高値ブレイクアウト,"終値 > 過去20日または55日高値","レンジ上放れやトレンド初動を狙う"
買い,上昇トレンド中のRSI押し目買い,"終値 > 200日MA かつ RSI(14) < 30 または RSI(2) < 10","上昇トレンド中の一時的な売られすぎを拾う"
買い,ボラティリティ収縮後の上放れ,"ボリンジャーバンド幅が過去120日下位20% かつ 終値 > 上側バンド","値動きの圧縮後に発生する大きなトレンドを狙う"
買い,短期リバーサル買い,"過去3〜5日リターンが大幅マイナス かつ 出来高急増 かつ 長期トレンド維持","短期的な売られすぎ・過剰反応の反発を狙う"
買い,ペア・スプレッド平均回帰の買い,"類似銘柄ペアのスプレッドz-score < -2 で割安側を買う","市場全体ではなく相対価格の歪みを狙う"
売り,移動平均デッドクロス・トレンド崩れ,"20日MA < 60日MA または 終値 < 200日MA","上昇トレンドの終了を検知して手仕舞う"
売り,モメンタム劣化売り,"保有銘柄の過去6〜12か月リターン順位が上位20%から中央以下に低下","買った理由である相対的な強さが失われたら撤退する"
売り,Donchian・ATRトレーリングストップ,"終値 < 過去20日安値 または 高値から2〜3ATR下落","利益を伸ばしつつ、トレンド反転時に撤退する"
売り,RSI過熱売り,"RSI(14) > 70、強い上昇相場では RSI > 80 で一部利確","買われすぎ局面で利益確定する"
売り,ボリンジャーバンド上抜け失敗売り,"終値が上側バンドを超えた後、数日以内にバンド内へ戻る","ブレイク失敗による反落を狙う"
売り,ペア・スプレッド割高売り,"類似銘柄ペアのスプレッドz-score > +2 で割高側を売る","相対的に割高になった銘柄の平均回帰を狙う"
売り,時間切れ売り・期待値未達売り,"買ってからN日以内に+X%進まない、または20営業日後のリターンが0%未満なら売る","シグナルの有効期限を明確にし、資金拘束を避ける"
買い,BBスクイーズ上放れ,"20日BB幅が過去120日下位20% かつ 終値 > +2σ かつ 出来高 > 20日平均出来高","低ボラティリティ後の急伸初動を狙う。勝率と正答時リターンの両立を重視"
買い,BB上限ブレイク継続,"終値 > +2σ かつ 20日MAが5日前より上昇 かつ 翌日も終値が+1σ以上","一時的な上抜けではなくバンドウォークに入る銘柄を狙う"
買い,BB中央線押し目買い,"終値が20日MA付近まで下落後、終値 > 20日MA かつ 20日MA上向き かつ 直近高値を更新","上昇トレンド中の押し目反発を狙う。過熱ブレイクより勝率重視"
買い,BB下限フェイクアウト反発,"安値 < -2σ かつ 終値 > -1σ かつ 翌日終値 > 前日高値","投げ売り後の急反発を狙う。ただし短期限定で検証する"
買い,BB幅拡大トレンド開始,"BB幅が前日比で拡大 かつ 終値 > +1σ かつ 20日MA > 60日MA","ボラティリティ拡大を伴う上昇トレンド初動を狙う"
買い,BBパーセントB急回復,"%Bが0.2未満から2日以内に0.8超へ回復 かつ 終値 > 20日MA","売られ過ぎからの強い買い戻しを狙う"
