カテゴリA,順張り系,押し目系,平均回帰系,ブレイクアウト系,過熱利確系,トレンド崩れ系,下落ブレイク系,トレーリング系,失敗ブレイク回避系,時間管理系
順張り系,同系統：重複カウント注意,補完：上昇トレンド内の押し目なら良好,衝突注意：順張りと逆張りの思想が異なる,補完：トレンド継続/初動の確認,衝突注意：強さ継続か過熱利確か判定必要,強い衝突：新規買い抑制/既存縮小,強い衝突：ロング回避優先,補完：保有管理に有効,条件付き：失敗確認なら撤退優先,条件付き：伸びない順張りは撤退
押し目系,補完：上昇トレンド内の押し目なら良好,同系統：重複カウント注意,近接：短期反発として統合検討,条件付き：押し目後の再ブレイクなら補完,弱い衝突：押し目では過熱利確は通常低優先,強い衝突：押し目か崩れかの識別が重要,強い衝突：反発狙いは小ロット/短期,条件付き：保有継続か撤退かを価格位置で判定,条件付き：再上昇失敗なら撤退,補完：反発しない押し目は撤退
平均回帰系,衝突注意：順張りと逆張りの思想が異なる,近接：短期反発として統合検討,同系統：重複カウント注意,強い衝突：レンジ回帰かトレンド化か判定必要,補完：過熱後の反落/回帰狙い,条件付き：下落中の逆張りは短期限定,強い衝突：下落加速なら逆張り禁止寄り,弱い関連：平均回帰は短期利確寄り,補完：フェイクアウト検知に有効,補完：反発しないなら早期撤退
ブレイクアウト系,補完：トレンド継続/初動の確認,条件付き：押し目後の再ブレイクなら補完,強い衝突：レンジ回帰かトレンド化か判定必要,同系統：重複カウント注意,衝突注意：初動か終盤過熱か判定必要,強い衝突：ダマシなら撤退,方向衝突：ロング/ショートを分離,補完：伸びた後の出口管理,補完：ダマシ検知,補完：伸びないブレイクは撤退
過熱利確系,衝突注意：強さ継続か過熱利確か判定必要,弱い衝突：押し目では過熱利確は通常低優先,補完：過熱後の反落/回帰狙い,衝突注意：初動か終盤過熱か判定必要,同系統：重複カウント注意,補完：利確から撤退への移行,補完：下落加速前の回避,衝突注意：早利確か利伸ばしか,補完：失速利確,弱い関連：伸び切り/停滞の管理
トレンド崩れ系,強い衝突：新規買い抑制/既存縮小,強い衝突：押し目か崩れかの識別が重要,条件付き：下落中の逆張りは短期限定,強い衝突：ダマシなら撤退,補完：利確から撤退への移行,同系統：重複カウント注意,補完：ロング回避/ショート候補,補完：トレール発動条件,補完：撤退優先,補完：弱い銘柄の資金拘束回避
下落ブレイク系,強い衝突：ロング回避優先,強い衝突：反発狙いは小ロット/短期,強い衝突：下落加速なら逆張り禁止寄り,方向衝突：ロング/ショートを分離,補完：下落加速前の回避,補完：ロング回避/ショート候補,同系統：重複カウント注意,補完：ロング撤退,補完：リスク回避,補完：反発しないなら撤退
トレーリング系,補完：保有管理に有効,条件付き：保有継続か撤退かを価格位置で判定,弱い関連：平均回帰は短期利確寄り,補完：伸びた後の出口管理,衝突注意：早利確か利伸ばしか,補完：トレール発動条件,補完：ロング撤退,同系統：重複カウント注意,補完：利益保護/損切り,条件付き：利伸ばしと時間切れの優先順位要定義
失敗ブレイク回避系,条件付き：失敗確認なら撤退優先,条件付き：再上昇失敗なら撤退,補完：フェイクアウト検知に有効,補完：ダマシ検知,補完：失速利確,補完：撤退優先,補完：リスク回避,補完：利益保護/損切り,同系統：重複カウント注意,補完：早期撤退ルール
時間管理系,条件付き：伸びない順張りは撤退,補完：反発しない押し目は撤退,補完：反発しないなら早期撤退,補完：伸びないブレイクは撤退,弱い関連：伸び切り/停滞の管理,補完：弱い銘柄の資金拘束回避,補完：反発しないなら撤退,条件付き：利伸ばしと時間切れの優先順位要定義,補完：早期撤退ルール,同系統：重複カウント注意
