区分,ルール名,売買条件例,狙い・特徴,主カテゴリ,補助カテゴリ,戦略ファミリー,役割,同時発生時の期待効果,衝突しやすいカテゴリ,相互影響分析メモ,カテゴリタグ
買い,移動平均トレンドフォロー,終値 > 200日MA かつ 20日MA > 60日MA,大きな上昇トレンドに乗る。最も基本的で検証しやすい,順張り系,トレンド確認,TrendFollowing,Entry,買い継続/新規買い,平均回帰系;過熱利確系,上位足トレンドが下向きなら抑制,順張り系;トレンド確認;TrendFollowing;Entry
買い,クロスセクション・モメンタム,過去6〜12か月リターン上位10〜20%を買う。直近1か月は除外することも多い,相対的に強い銘柄を買う。銘柄選択型のクオンツ戦略に向く,順張り系,モメンタム選別,Momentum,Entry,銘柄選択,平均回帰系,絶対トレンド確認を併用,順張り系;モメンタム選別;Momentum;Entry
買い,高値ブレイクアウト,終値 > 過去20日または55日高値,レンジ上放れやトレンド初動を狙う,ブレイクアウト系,順張り系,Breakout,Entry,レンジ上放れ,過熱利確系,出来高/ボラ確認があると信頼度上昇,ブレイクアウト系;順張り系;Breakout;Entry
買い,上昇トレンド中のRSI押し目買い,終値 > 200日MA かつ RSI(14) < 30 または RSI(2) < 10,上昇トレンド中の一時的な売られすぎを拾う,押し目系,順張り系,Pullback,Entry,上昇中の短期売られすぎ,下落ブレイク系,長期トレンド維持が前提,押し目系;順張り系;Pullback;Entry
買い,ボラティリティ収縮後の上放れ,ボリンジャーバンド幅が過去120日下位20% かつ 終値 > 上側バンド,値動きの圧縮後に発生する大きなトレンドを狙う,ブレイクアウト系,ボラ収縮系,VolBreakout,Entry,低ボラ後の上放れ,平均回帰系;過熱利確系,スクイーズ後の拡大を狙う,ブレイクアウト系;ボラ収縮系;VolBreakout;Entry
買い,短期リバーサル買い,過去3〜5日リターンが大幅マイナス かつ 出来高急増 かつ 長期トレンド維持,短期的な売られすぎ・過剰反応の反発を狙う,平均回帰系,押し目系,MeanReversion,Entry,短期過剰反応の反発,ブレイクアウト系;下落トレンド系,短期限定・損切り厳格,平均回帰系;押し目系;MeanReversion;Entry
買い,ペア・スプレッド平均回帰の買い,類似銘柄ペアのスプレッドz-score < -2 で割安側を買う,市場全体ではなく相対価格の歪みを狙う,平均回帰系,ペアトレード系,RelativeValue,Entry,相対価格の歪み,順張り系,市場方向よりスプレッドを優先,平均回帰系;ペアトレード系;RelativeValue;Entry
売り,移動平均デッドクロス・トレンド崩れ,20日MA < 60日MA または 終値 < 200日MA,上昇トレンドの終了を検知して手仕舞う,トレンド崩れ系,リスク回避系,TrendExit,Exit,上昇トレンド終了,押し目系,買いルールより上位のリスク制御,トレンド崩れ系;リスク回避系;TrendExit;Exit
売り,モメンタム劣化売り,保有銘柄の過去6〜12か月リターン順位が上位20%から中央以下に低下,買った理由である相対的な強さが失われたら撤退する,トレンド崩れ系,モメンタム劣化系,MomentumExit,Exit,相対的強さ喪失,押し目系,クロスセクション戦略の撤退条件,トレンド崩れ系;モメンタム劣化系;MomentumExit;Exit
売り,Donchian・ATRトレーリングストップ,終値 < 過去20日安値 または 高値から2〜3ATR下落,利益を伸ばしつつ、トレンド反転時に撤退する,トレーリング系,リスク回避系,TrailingExit,Exit,利益保護/反転撤退,押し目系,順張り保有の出口,トレーリング系;リスク回避系;TrailingExit;Exit
