取引日,入出金(円),取引後残高(円),入出金内容
20240701,-2751,241212,VISAデビット A0473672
20240702,-600,240612,VISAデビット A0743895
20240708,-550,240062,VISAデビット A0924586
20240709,-8454,231608,VISAデビット A0049986
20240709,-955,230653,VISAデビット A0258001
20240710,-1800,228853,ラクテンペイ(ラクテンギンコウコウザバライ)
20240714,-161,228692,VISAデビット A0227413
20240714,161,228853,VISAデビット A0227413
20240714,-2208,226645,VISAデビット A0306413
20240720,-1500,225145,VISAデビット A0084352
20240720,-100,225045,VISAデビット A0698352
20240722,-450,224595,VISAデビット A0804681
20240723,-2500,222095,VISAデビット A0045961
20240723,-7050,215045,VISAデビット A0060058
20240729,-3355,211690,ラクテンペイ(ラクテンギンコウコウザバライ)
20240731,-206,211484,VISAデビット A0955620
20240731,-105,211379,VISAデビット A0581673
20240731,-1574,209805,VISAデビット A0803871
20240802,-116,209689,ラクテンペイ(ラクテンギンコウコウザバライ)
20240802,-26,209663,VISAデビット B0803871
20240807,-1800,207863,ラクテンペイ(ラクテンギンコウコウザバライ)
20240807,-180,207683,VISAデビット A0298192
20240808,-550,207133,VISAデビット A0149585
20240809,-102,207031,ラクテンペイ(ラクテンギンコウコウザバライ)
20240813,-1507,205524,VISAデビット B0753950
20240825,-4438,201086,VISAデビット A0579333
20240825,-960,200126,VISAデビット A0504355
20240828,-3339,196787,VISAデビット B0756895
20240829,3,196790,アマゾンインク
20240830,-1002,195788,ラクテンペイ(ラクテンギンコウコウザバライ)
20240903,-180,195608,VISAデビット A0222826
20240903,-500,195108,VISAデビット A0930826
20240903,-500,194608,VISAデビット A0663836
20240903,-100,194508,VISAデビット A0218846
20240903,-800,193708,VISAデビット A0993846
20240906,-6400,187308,VISAデビット A0388220
20240908,-550,186758,VISAデビット A0729859
20240908,-1419,185339,ラクテンペイ(ラクテンギンコウコウザバライ)
20240914,-10000,175339,カ－ド出金　ロ－ソン  247562203568
20240914,-1800,173539,VISAデビット A0558906
20240922,-2000,171539,VISAデビット A0007575
20240924,-398,171141,ラクテンペイ(ラクテンギンコウコウザバライ)
20240926,-1800,169341,ラクテンペイ(ラクテンギンコウコウザバライ)
20240926,-220,169121,ラクテンペイ(ラクテンギンコウコウザバライ)
20240927,-298,168823,ラクテンペイ(ラクテンギンコウコウザバライ)
20240930,32,168855,預金利息
20240930,-1382,167473,VISAデビット B0411279
20240930,-6120,161353,楽天銀行　第一営業支店　普通預金　7210768　株式会社　ちょこっと（依頼人名：ワタナヘ゛　タクミ　内容：SE-20240930-2934　振込予定日：2024年09月30日　管理番号：20240930-37821845）
20241006,-2500,158853,VISAデビット A0272118
20241007,-3100,155753,VISAデビット A0496817
20241008,-550,155203,VISAデビット A0762100
20241010,-1360,153843,（カ）シ゛エ－シ－ヒ゛－
20241015,-3044,150799,VISAデビット A0332624
20241017,-49,150750,VISAデビット B0332624
20241020,-8302,142448,ラクテンペイ(ラクテンギンコウコウザバライ)
20241024,-263,142185,VISAデビット B0736409
20241028,-5602,136583,VISAデビット A0078754
20241031,-15580,121003,VISAデビット A0372869
20241101,-2289,118714,ラクテンペイ(ラクテンギンコウコウザバライ)
20241108,-550,118164,VISAデビット A0573633
20241116,-1590,116574,VISAデビット A0330208
20241116,1590,118164,VISAデビット A0330208
20241118,-8063,110101,ラクテンペイ(ラクテンギンコウコウザバライ)
20241123,-1800,108301,ラクテンペイ(ラクテンギンコウコウザバライ)
20241129,-308,107993,ラクテンペイ(ラクテンギンコウコウザバライ)
20241129,-108,107885,ラクテンペイ(ラクテンギンコウコウザバライ)
20241203,-2500,105385,VISAデビット A0752605
20241203,-50,105335,VISAデビット A0313794
20241206,-1828,103507,ラクテンペイ(ラクテンギンコウコウザバライ)
20241208,-550,102957,VISAデビット A0019839
20241210,-5000,97957,VISAデビット A0413371
20241217,-1661,96296,VISAデビット A0571463
20241218,-27,96269,VISAデビット B0571463
20241220,-288,95981,ラクテンペイ(ラクテンギンコウコウザバライ)
20241222,-2000,93981,VISAデビット A0522988
20241222,-1360,92621,ラクテンペイ(ラクテンギンコウコウザバライ)
20241222,-1720,90901,ラクテンペイ(ラクテンギンコウコウザバライ)
20241225,-5214,85687,VISAデビット A0373430
20241225,-1800,83887,VISAデビット A0169470
20241225,-1000,82887,VISAデビット A0585470
20241227,-8120,74767,ラクテンペイ(ラクテンギンコウコウザバライ)
20241230,19,74786,アマゾンインク
20250108,-550,74236,VISAデビット A0331192
20250111,-1800,72436,ラクテンペイ(ラクテンギンコウコウザバライ)
20250111,-9405,63031,ラクテンペイ(ラクテンギンコウコウザバライ)
20250111,-3831,59200,ラクテンペイ(ラクテンギンコウコウザバライ)
20250111,-875,58325,ラクテンペイ(ラクテンギンコウコウザバライ)
20250116,-1766,56559,VISAデビット A0210803
20250117,-29,56530,VISAデビット B0210803
20250118,-1500,55030,VISAデビット A0558735
20250119,-1613,53417,VISAデビット A0621344
20250119,-1613,51804,VISAデビット A0785325
20250122,-377,51427,VISAデビット B0179613
20250126,-920,50507,VISAデビット A0684758
20250131,-5000,45507,VISAデビット A0292883
20250131,-1491,44016,VISAデビット A0927912
20250131,-1000,43016,ラクテンペイ(ラクテンギンコウコウザバライ)
20250131,-427,42589,ラクテンペイ(ラクテンギンコウコウザバライ)
20250201,-169,42420,ラクテンペイ(ラクテンギンコウコウザバライ)
20250202,-280,42140,ラクテンペイ(ラクテンギンコウコウザバライ)
20250202,-334,41806,ラクテンペイ(ラクテンギンコウコウザバライ)
20250202,-894,40912,ラクテンペイ(ラクテンギンコウコウザバライ)
20250205,-6798,34114,ラクテンペイ(ラクテンギンコウコウザバライ)
20250208,-550,33564,VISAデビット A0210656
20250209,-1800,31764,ラクテンペイ(ラクテンギンコウコウザバライ)
20250209,30000,61764,カ－ド入金　Enet  172788129012
20250209,-311,61453,ラクテンペイ(ラクテンギンコウコウザバライ)
20250209,-37070,24383,みずほ銀行　銀座中央支店　普通預金　1869807　ア－トセツテインク゛テ゛リハ゛リ－（カ（依頼人名：ワタナヘ゛　タクミ　振込予定日：2025年02月10日　管理番号：20250209-43224157）
20250212,-2000,22383,VISAデビット A0726507
20250212,-3010,19373,VISAデビット A0825662
20250212,-400,18973,ラクテンペイ(ラクテンギンコウコウザバライ)
20250212,-2203,16770,ラクテンペイ(ラクテンギンコウコウザバライ)
20250213,-2000,14770,VISAデビット A0745057
20250213,-460,14310,ラクテンペイ(ラクテンギンコウコウザバライ)
20250213,-4532,9778,VISAデビット A0095182
20250213,-3040,6738,ラクテンペイ(ラクテンギンコウコウザバライ)
20250214,-432,6306,ラクテンペイ(ラクテンギンコウコウザバライ)
20250214,-1980,4326,VISAデビット A0393601
20250215,-1400,2926,VISAデビット A0589914
20250216,-1709,1217,VISAデビット A0842410
20250217,-28,1189,VISAデビット B0842410
20250219,50000,51189,カ－ド入金　ゆうちょ銀行9982591000039
20250223,-7770,43419,ラクテンペイ(ラクテンギンコウコウザバライ)
20250302,-4928,38491,ラクテンペイ(ラクテンギンコウコウザバライ)
20250302,-1357,37134,VISAデビット A0881331
20250308,-550,36584,VISAデビット A0620235
20250310,-792,35792,VISAデビット A0291214
20250311,-400,35392,ラクテンペイ(ラクテンギンコウコウザバライ)
20250315,-369,35023,VISAデビット A0148650
20250316,-1663,33360,VISAデビット A0267939
20250317,-28,33332,VISAデビット B0267939
20250318,-300,33032,ラクテンペイ(ラクテンギンコウコウザバライ)
20250318,-110,32922,ラクテンペイ(ラクテンギンコウコウザバライ)
20250319,-550,32372,ラクテンペイ(ラクテンギンコウコウザバライ)
20250319,-330,32042,ラクテンペイ(ラクテンギンコウコウザバライ)
20250319,-3780,28262,VISAデビット A0864601
